Pin Number,Pin ID,Custom Name,Function,Direction,Latch,Open Drain,PIO Interrupt,Pull Up,Pull Down,Glitch/Debounce Filter,Drive Strength
T21,PB2,,Available,In,,,,,,,
U14,PA25,,GMAC0_G0_125CK,n/a,n/a,No,Disabled,No,No,Glitch Filter,0
U18,PB0,,Available,In,,,,,,,
V14,PA12,USER_BUTTON,SWITCH_AL,n/a,n/a,No,Disabled,Yes,No,Glitch Filter,0
V15,PA15,,GMAC0_G0_TXEN,n/a,n/a,No,Disabled,No,No,Glitch Filter,0
V16,PA17,,GMAC0_G0_TX1,n/a,n/a,No,Disabled,No,No,Glitch Filter,0
V17,PB7,,Available,In,,,,,,,
V18,PB5,,Available,In,,,,,,,
V19,PB3,,Available,In,,,,,,,
V20,PA19,,GMAC0_G0_RX0,n/a,n/a,No,Disabled,No,No,Glitch Filter,0
V21,PA21,,Available,In,,,,,,,
W16,PA26,,GMAC0_G0_TX2,n/a,n/a,No,Disabled,No,No,Glitch Filter,0
W18,PA27,,GMAC0_G0_TX3,n/a,n/a,No,Disabled,No,No,Glitch Filter,0
W19,PA29,,GMAC0_G0_RX3,n/a,n/a,No,Disabled,No,No,Glitch Filter,0
W20,PA31,,Available,In,,,,,,,
W21,PB1,,Available,In,,,,,,,
Y15,PA16,,GMAC0_G0_TX0,n/a,n/a,No,Disabled,No,No,Glitch Filter,0
Y16,PA18,,GMAC0_G0_RXDV,n/a,n/a,No,Disabled,No,No,Glitch Filter,0
Y18,PA22,,GMAC0_G0_MDC,n/a,n/a,No,Disabled,No,No,Glitch Filter,0
Y19,PA24,,GMAC0_G0_TXCK,n/a,n/a,No,Disabled,No,No,Glitch Filter,0
Y21,PA20,,GMAC0_G0_RX1,n/a,n/a,No,Disabled,No,No,Glitch Filter,0
